City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,badger,64.8,-147.5333,-6.07,75,100,0.0,US,1709872179
1,dryden,49.7833,-92.7503,-8.84,79,100,3.6,CA,1709872179
2,waitangi,-43.9535,-176.5597,15.46,73,23,0.89,NZ,1709872180
3,yellowknife,62.456,-114.3525,-14.21,84,100,2.06,CA,1709872180
4,utrik,11.2278,169.8474,26.6,81,80,10.95,MH,1709872180
5,grytviken,-54.2811,-36.5092,2.85,83,57,2.56,GS,1709872180
6,port-aux-francais,-49.35,70.2167,5.33,79,99,12.75,TF,1709872180
7,fort mcmurray,56.7268,-111.381,-6.23,63,75,2.06,CA,1709872180
8,terekli-mekteb,44.1671,45.8698,1.5,88,93,1.16,RU,1709872180
9,ilulissat,69.2167,-51.1,-11.99,85,100,6.17,GL,1709872181
10,nikolayevsk-on-amure,53.1406,140.73,-8.66,77,100,2.7,RU,1709872181
11,udachny,66.4167,112.4,-11.97,84,99,2.71,RU,1709872181
12,villa gesell,-37.2639,-56.973,21.7,81,21,5.79,AR,1709872181
13,kavieng,-2.5744,150.7967,28.53,77,59,1.6,PG,1709872181
14,ushuaia,-54.8,-68.3,7.81,93,0,1.54,AR,1709872181
15,whitehorse,60.7161,-135.0538,-3.44,69,20,2.06,CA,1709872181
16,greenland,43.0362,-70.8328,5.06,76,75,5.66,US,1709872182
17,iqaluit,63.7506,-68.5145,-25.15,77,40,2.57,CA,1709872182
18,canico,32.6333,-16.85,14.35,74,40,1.54,PT,1709872182
19,remire-montjoly,4.9167,-52.2667,27.02,89,75,2.57,GF,1709872182
20,hasaki,35.7333,140.8333,7.94,93,100,11.91,JP,1709872182
21,santa ana,33.7456,-117.8678,14.37,86,75,4.63,US,1709871641
22,tiksi,71.6872,128.8694,-26.49,99,47,1.67,RU,1709872183
23,bilibino,68.0546,166.4372,-19.7,90,53,0.51,RU,1709872183
24,kodiak,57.79,-152.4072,0.73,80,100,7.2,US,1709872183
25,westport,41.1415,-73.3579,8.22,79,100,4.12,US,1709871986
26,geraldton,-28.7667,114.6,29.23,61,1,7.72,AU,1709872183
27,dadukou,26.5479,101.7054,20.33,30,0,0.95,CN,1709872184
28,vorkuta,67.5,64.0,-22.94,98,80,3.03,RU,1709872184
29,saint-pierre,-21.3393,55.4781,26.82,61,16,2.06,RE,1709872184
30,kertih,4.5141,103.4483,31.01,66,40,2.57,MY,1709872184
31,beipiao,41.7919,120.7792,0.73,22,0,7.19,CN,1709872184
32,stanley,54.868,-1.6985,4.04,89,75,4.63,GB,1709872184
33,blackmans bay,-43.0167,147.3167,20.41,64,52,0.45,AU,1709872185
34,albany,42.6001,-73.9662,4.11,83,44,0.89,US,1709872185
35,rio grande,-32.035,-52.0986,23.86,87,99,8.18,BR,1709872185
36,krasnokamensk,50.0979,118.0369,-9.47,82,21,1.78,RU,1709872185
